a, b, Responsiveness, Smoothness, Mean(X), Fairness
30.00, 0.30, 0.6643, 20.00, 43.65, 1.00
30.00, 0.40, 0.5791, 30.00, 50.27, 1.00
30.00, 0.50, 0.5236, 40.00, 57.92, 0.99
30.00, 0.60, 0.4833, 50.00, 21.96, 0.96
35.00, 0.30, 0.4407, 35.00, 50.60, 1.00
35.00, 0.40, 0.4180, 45.00, 58.07, 1.00
35.00, 0.50, 0.3985, 55.00, 66.67, 0.99
35.00, 0.60, 0.3819, 65.00, 33.24, 0.98
40.00, 0.30, 0.3312, 50.00, 57.55, 1.00
40.00, 0.40, 0.3275, 60.00, 65.87, 1.00
40.00, 0.50, 0.3219, 70.00, 17.71, 0.98
40.00, 0.60, 0.3157, 80.00, 37.32, 0.99
45.00, 0.30, 0.2657, 65.00, 64.50, 1.00
45.00, 0.40, 0.2694, 75.00, 73.67, 1.00
45.00, 0.50, 0.2701, 85.00, 30.83, 0.99
45.00, 0.60, 0.2691, 95.00, 41.40, 0.99
50.00, 0.30, 0.2219, 80.00, 71.45, 1.00
50.00, 0.40, 0.2289, 90.00, 81.47, 1.00
50.00, 0.50, 0.2327, 100.00, 33.96, 0.99
50.00, 0.60, 0.2345, 110.00, 45.48, 0.99
